WORD,POS
готовили,VERB
волонтеров ,NOUN
специалисты,NOUN
университетской,ADJ
многопрофильной,ADJ
клиники,NOUN
ТГМУ,PROPN
кафедр,NOUN
гигиены,NOUN
экологии,NOUN
и,CONJ
эпидемиологии ,NOUN
инфекционных,ADJ
болезней,NOUN
с,PREP
курсами,NOUN
детских,ADJ
инфекций,NOUN
дерматовенерологии,NOUN
и,CONJ
косметологии,NOUN
кафедры,NOUN
терапии,NOUN
с,PREP
курсами,NOUN
эндокринологии,NOUN
функциональной,ADJ
и,CONJ
ультразвуковой,ADJ
диагностики,NOUN
а ,CONJ
также,CONJ
кафедры,NOUN
медицинской,ADJ
профилактики,NOUN
и,CONJ
реабилитации,NOUN
но,CONJ
о,PREP
причине,NOUN
полугодовой,ADJ
отсрочки,NOUN
дома,NOUN
я,PRON
не ,PART
рассказывал,VERB
как,CONJ
тюрбо,NOUN
мадам,NOUN
полюбопытствовал,VERB
парень,NOUN
когда,CONJ
с ,PREP
нежной,ADJ
рыбой,NOUN
было,VERB
покончено,PRTS
мы,PRON
обладаем,VERB
всем,PRON
чем,PRON
может,VERB
обладать,VERB 
сверхчеловек,NOUN
интеллектом,NOUN
склонностью ,NOUN
к,PREP
саморазвитию,NOUN
безупречным,ADJ
вкусом,NOUN
беда,NOUN
флегона,PROPN
была,VERB
в ,PREP
том,PRON
что,PRON
он ,PRON
не ,PART
только,ADV
провокатор,NOUN
а ,CONJ
еще,PART
и,CONJ
страшная ,ADJ
бездарь,NOUN
судя,GRND
по,PREP
его,PRON
предисловию,NOUN
автор,NOUN
этой,PRON
статьи,NOUN
явно,ADV
не ,PART
имеет,VERB
представления,NOUN
о ,PREP
теме ,NOUN
и ,CONJ
пишет,VERB
несуразицу,NOUN
это ,PRON
такая,ADJ
кринжатина ,NOUN
не ,PART
надо ,VERB
на ,PREP
него,PRON
агриться,VERB
он ,PRON
просто,ADV
шутит,VERB
френдята,NOUN
давайте,VERB
жить,VERB
дружно,ADV
ты,PRON
мой ,PRON
краш,NOUN
либо,CONJ
я,PRON
либо ,CONJ
никто,PRON
это,PRON
шантаж,NOUN
часто,ADV
только,ADV
привычка,NOUN
принимать,VERB
все ,PRON
на ,PREP
личный ,ADJ
счет,NOUN
и,CONJ
ЧСВ,NOUN
мешают ,VERB
нам,PRON
конструктивно,ADV
взаимодействовать,VERB
с,PREP
критично,ADV
мыслящими,PRTF
людьми,NOUN
таня,PROPN
осовоила,VERB
специальность ,NOUN
гистологического,ADJ
лаборанта,NOUN
играючи,GRND
дело,NOUN
тонкое,ADJ
и,CONJ
кропотливое,ADJ
в ,PREP
котором,ADJ
все,PRON
ей,PRON
нравилось,VERB
издали,ADV
заметя,GRND
командира,NOUN
дивизии,NOUN
и ,CONJ
весь,PRON
подобравшись,VERB
часовой,ADJ
с ,PREP
трофейным,ADJ
автоматом,NOUN
на ,PREP
груди ,NOUN
приветствовал ,VERB
его,PRON
а ,CONJ
мы ,PRON
не ,PART
жрамши,GRND
не,PART
пимши,GRND
на ,PREP
билеты,NOUN
последнее ,ADJ
истратили,VERB
тут,ADV
и,CONJ
подходит,VERB
к,PREP
ним,PRON
ихний,PRON
соблазнитель,NOUN
только,ADV
уж,ADV
не ,PART
в ,PREP
прежней,ADJ
змеиной,ADJ
коже,NOUN
а ,CONJ
переодемшись ,GRND
в ,PREP
партикулярное ,ADJ
платье ,NOUN
разумеется,PART
насупился ,VERB
старик,NOUN
мало,ADV
чего,PRON
говорит,VERB
ты ,PRON
там ,ADV
по ,PREP
ригам,NOUN
валямшись,GRND
щенок,NOUN
надумаешь,VERB
я ,PRON
поступила ,VERB
в,PREP
НИУ,PROPN
ВШЭ,PROPN
на ,PREP
программу ,NOUN
фундаментальная ,ADJ
и ,CONJ
компьютерная ,ADJ
лингвистика,NOUN
